Started container 'subject'	ContainerStarted	subject-app--0000003-5fdd676994-xqj7s	subject-app--0000003	PrimaryResult	2026-06-12T14:41:39.5339152Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000002-64b585b6c7-r9242	subject-app--0000002	PrimaryResult	2026-06-12T14:42:42.3737204Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000002-64b585b6c7-5ddps	subject-app--0000002	PrimaryResult	2026-06-12T14:42:42.3737204Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000002-64b585b6c7-fwvkt	subject-app--0000002	PrimaryResult	2026-06-12T14:42:42.3737204Z
Replica 'subject-app--0000004-db697cb47-q696p' has been scheduled to run on a node.	AssigningReplica	subject-app--0000004-db697cb47-q696p	subject-app--0000004	PrimaryResult	2026-06-12T15:03:10.648543Z
Replica 'subject-app--0000004-db697cb47-bffg2' has been scheduled to run on a node.	AssigningReplica	subject-app--0000004-db697cb47-bffg2	subject-app--0000004	PrimaryResult	2026-06-12T15:03:10.648543Z
Replica 'subject-app--0000004-db697cb47-8lvfb' has been scheduled to run on a node.	AssigningReplica	subject-app--0000004-db697cb47-8lvfb	subject-app--0000004	PrimaryResult	2026-06-12T15:03:10.648543Z
Started container 'subject'	ContainerStarted	subject-app--0000004-db697cb47-bffg2	subject-app--0000004	PrimaryResult	2026-06-12T15:03:21.2246299Z
Started container 'subject'	ContainerStarted	subject-app--0000004-db697cb47-8lvfb	subject-app--0000004	PrimaryResult	2026-06-12T15:03:22.2286347Z
Started container 'subject'	ContainerStarted	subject-app--0000004-db697cb47-q696p	subject-app--0000004	PrimaryResult	2026-06-12T15:03:26.4277734Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000003-5fdd676994-v5vj8	subject-app--0000003	PrimaryResult	2026-06-12T15:04:32.2784332Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000003-5fdd676994-xqj7s	subject-app--0000003	PrimaryResult	2026-06-12T15:04:32.2784332Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000003-5fdd676994-jbtjg	subject-app--0000003	PrimaryResult	2026-06-12T15:04:32.2784332Z
Replica 'subject-app--0000005-587b64fd9f-l5v29' has been scheduled to run on a node.	AssigningReplica	subject-app--0000005-587b64fd9f-l5v29	subject-app--0000005	PrimaryResult	2026-06-12T15:14:04.213601Z
Replica 'subject-app--0000005-587b64fd9f-64wpz' has been scheduled to run on a node.	AssigningReplica	subject-app--0000005-587b64fd9f-64wpz	subject-app--0000005	PrimaryResult	2026-06-12T15:14:04.213601Z
Replica 'subject-app--0000005-587b64fd9f-cs9tg' has been scheduled to run on a node.	AssigningReplica	subject-app--0000005-587b64fd9f-cs9tg	subject-app--0000005	PrimaryResult	2026-06-12T15:14:04.213601Z
Started container 'subject'	ContainerStarted	subject-app--0000005-587b64fd9f-cs9tg	subject-app--0000005	PrimaryResult	2026-06-12T15:14:19.3259923Z
Started container 'subject'	ContainerStarted	subject-app--0000005-587b64fd9f-64wpz	subject-app--0000005	PrimaryResult	2026-06-12T15:14:20.3445997Z
Started container 'subject'	ContainerStarted	subject-app--0000005-587b64fd9f-l5v29	subject-app--0000005	PrimaryResult	2026-06-12T15:14:21.3901246Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000004-db697cb47-bffg2	subject-app--0000004	PrimaryResult	2026-06-12T15:15:27.43141Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000004-db697cb47-q696p	subject-app--0000004	PrimaryResult	2026-06-12T15:15:27.43141Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000004-db697cb47-8lvfb	subject-app--0000004	PrimaryResult	2026-06-12T15:15:27.43141Z
Replica 'subject-app--0000006-b59dcd8cf-zt7hm' has been scheduled to run on a node.	AssigningReplica	subject-app--0000006-b59dcd8cf-zt7hm	subject-app--0000006	PrimaryResult	2026-06-12T15:24:58.2568674Z
Replica 'subject-app--0000006-b59dcd8cf-ttv66' has been scheduled to run on a node.	AssigningReplica	subject-app--0000006-b59dcd8cf-ttv66	subject-app--0000006	PrimaryResult	2026-06-12T15:24:58.2568674Z
Replica 'subject-app--0000006-b59dcd8cf-f6kq9' has been scheduled to run on a node.	AssigningReplica	subject-app--0000006-b59dcd8cf-f6kq9	subject-app--0000006	PrimaryResult	2026-06-12T15:24:58.2568674Z
Started container 'subject'	ContainerStarted	subject-app--0000006-b59dcd8cf-f6kq9	subject-app--0000006	PrimaryResult	2026-06-12T15:25:13.2025278Z
Started container 'subject'	ContainerStarted	subject-app--0000006-b59dcd8cf-ttv66	subject-app--0000006	PrimaryResult	2026-06-12T15:25:13.2025278Z
Started container 'subject'	ContainerStarted	subject-app--0000006-b59dcd8cf-zt7hm	subject-app--0000006	PrimaryResult	2026-06-12T15:25:15.1644142Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000005-587b64fd9f-cs9tg	subject-app--0000005	PrimaryResult	2026-06-12T15:26:21.158161Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000005-587b64fd9f-l5v29	subject-app--0000005	PrimaryResult	2026-06-12T15:26:21.158161Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000005-587b64fd9f-64wpz	subject-app--0000005	PrimaryResult	2026-06-12T15:26:21.158161Z
Replica 'subject-app--0000007-84f8df4c4b-mw7mx' has been scheduled to run on a node.	AssigningReplica	subject-app--0000007-84f8df4c4b-mw7mx	subject-app--0000007	PrimaryResult	2026-06-12T15:35:54.3762283Z
Replica 'subject-app--0000007-84f8df4c4b-8b8fq' has been scheduled to run on a node.	AssigningReplica	subject-app--0000007-84f8df4c4b-8b8fq	subject-app--0000007	PrimaryResult	2026-06-12T15:35:54.3762283Z
Replica 'subject-app--0000007-84f8df4c4b-f4psz' has been scheduled to run on a node.	AssigningReplica	subject-app--0000007-84f8df4c4b-f4psz	subject-app--0000007	PrimaryResult	2026-06-12T15:35:54.3762283Z
Started container 'subject'	ContainerStarted	subject-app--0000007-84f8df4c4b-mw7mx	subject-app--0000007	PrimaryResult	2026-06-12T15:36:10.6575639Z
Started container 'subject'	ContainerStarted	subject-app--0000007-84f8df4c4b-8b8fq	subject-app--0000007	PrimaryResult	2026-06-12T15:36:10.6575639Z
Started container 'subject'	ContainerStarted	subject-app--0000007-84f8df4c4b-f4psz	subject-app--0000007	PrimaryResult	2026-06-12T15:36:16.502761Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000006-b59dcd8cf-zt7hm	subject-app--0000006	PrimaryResult	2026-06-12T15:37:15.479732Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000006-b59dcd8cf-ttv66	subject-app--0000006	PrimaryResult	2026-06-12T15:37:15.479732Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000006-b59dcd8cf-f6kq9	subject-app--0000006	PrimaryResult	2026-06-12T15:37:15.479732Z
Replica 'subject-app--0000008-6d8fcbd44f-9vpxf' has been scheduled to run on a node.	AssigningReplica	subject-app--0000008-6d8fcbd44f-9vpxf	subject-app--0000008	PrimaryResult	2026-06-12T15:46:49.3157895Z
Replica 'subject-app--0000008-6d8fcbd44f-wgsl8' has been scheduled to run on a node.	AssigningReplica	subject-app--0000008-6d8fcbd44f-wgsl8	subject-app--0000008	PrimaryResult	2026-06-12T15:46:49.3157895Z
Replica 'subject-app--0000008-6d8fcbd44f-65slq' has been scheduled to run on a node.	AssigningReplica	subject-app--0000008-6d8fcbd44f-65slq	subject-app--0000008	PrimaryResult	2026-06-12T15:46:49.3157895Z
Started container 'subject'	ContainerStarted	subject-app--0000008-6d8fcbd44f-65slq	subject-app--0000008	PrimaryResult	2026-06-12T15:47:04.3086712Z
Started container 'subject'	ContainerStarted	subject-app--0000008-6d8fcbd44f-9vpxf	subject-app--0000008	PrimaryResult	2026-06-12T15:47:04.3086712Z
Started container 'subject'	ContainerStarted	subject-app--0000008-6d8fcbd44f-wgsl8	subject-app--0000008	PrimaryResult	2026-06-12T15:47:06.1890085Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000007-84f8df4c4b-mw7mx	subject-app--0000007	PrimaryResult	2026-06-12T15:48:11.2286492Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000007-84f8df4c4b-f4psz	subject-app--0000007	PrimaryResult	2026-06-12T15:48:11.2286492Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000007-84f8df4c4b-8b8fq	subject-app--0000007	PrimaryResult	2026-06-12T15:48:11.2286492Z
Replica 'subject-app--0000009-df9bcddcf-jhn7h' has been scheduled to run on a node.	AssigningReplica	subject-app--0000009-df9bcddcf-jhn7h	subject-app--0000009	PrimaryResult	2026-06-12T15:57:43.2142504Z
Replica 'subject-app--0000009-df9bcddcf-54lnq' has been scheduled to run on a node.	AssigningReplica	subject-app--0000009-df9bcddcf-54lnq	subject-app--0000009	PrimaryResult	2026-06-12T15:57:43.2142504Z
Replica 'subject-app--0000009-df9bcddcf-v85n6' has been scheduled to run on a node.	AssigningReplica	subject-app--0000009-df9bcddcf-v85n6	subject-app--0000009	PrimaryResult	2026-06-12T15:57:43.2142504Z
Started container 'subject'	ContainerStarted	subject-app--0000009-df9bcddcf-jhn7h	subject-app--0000009	PrimaryResult	2026-06-12T15:57:58.5906343Z
Started container 'subject'	ContainerStarted	subject-app--0000009-df9bcddcf-v85n6	subject-app--0000009	PrimaryResult	2026-06-12T15:57:59.2384289Z
Started container 'subject'	ContainerStarted	subject-app--0000009-df9bcddcf-54lnq	subject-app--0000009	PrimaryResult	2026-06-12T15:57:59.2384289Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000008-6d8fcbd44f-65slq	subject-app--0000008	PrimaryResult	2026-06-12T15:59:05.1939123Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000008-6d8fcbd44f-wgsl8	subject-app--0000008	PrimaryResult	2026-06-12T15:59:05.1939123Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000008-6d8fcbd44f-9vpxf	subject-app--0000008	PrimaryResult	2026-06-12T15:59:05.1939123Z
Replica 'subject-app--0000010-547f8648b9-f84q8' has been scheduled to run on a node.	AssigningReplica	subject-app--0000010-547f8648b9-f84q8	subject-app--0000010	PrimaryResult	2026-06-12T16:08:41.6127137Z
Replica 'subject-app--0000010-547f8648b9-ntkdg' has been scheduled to run on a node.	AssigningReplica	subject-app--0000010-547f8648b9-ntkdg	subject-app--0000010	PrimaryResult	2026-06-12T16:08:41.6127137Z
Replica 'subject-app--0000010-547f8648b9-wjdmt' has been scheduled to run on a node.	AssigningReplica	subject-app--0000010-547f8648b9-wjdmt	subject-app--0000010	PrimaryResult	2026-06-12T16:08:41.6127137Z
Started container 'subject'	ContainerStarted	subject-app--0000010-547f8648b9-wjdmt	subject-app--0000010	PrimaryResult	2026-06-12T16:08:56.6347703Z
Started container 'subject'	ContainerStarted	subject-app--0000010-547f8648b9-ntkdg	subject-app--0000010	PrimaryResult	2026-06-12T16:08:57.2885714Z
Started container 'subject'	ContainerStarted	subject-app--0000010-547f8648b9-f84q8	subject-app--0000010	PrimaryResult	2026-06-12T16:08:57.2885714Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000009-df9bcddcf-v85n6	subject-app--0000009	PrimaryResult	2026-06-12T16:09:57.316686Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000009-df9bcddcf-54lnq	subject-app--0000009	PrimaryResult	2026-06-12T16:09:58.1941362Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000009-df9bcddcf-jhn7h	subject-app--0000009	PrimaryResult	2026-06-12T16:09:58.1941362Z
Replica 'subject-app--0000011-698d76d7-hlqgv' has been scheduled to run on a node.	AssigningReplica	subject-app--0000011-698d76d7-hlqgv	subject-app--0000011	PrimaryResult	2026-06-12T16:19:37.2182252Z
Replica 'subject-app--0000011-698d76d7-gzm48' has been scheduled to run on a node.	AssigningReplica	subject-app--0000011-698d76d7-gzm48	subject-app--0000011	PrimaryResult	2026-06-12T16:19:37.2182252Z
Replica 'subject-app--0000011-698d76d7-fz5tt' has been scheduled to run on a node.	AssigningReplica	subject-app--0000011-698d76d7-fz5tt	subject-app--0000011	PrimaryResult	2026-06-12T16:19:37.2182252Z
Started container 'subject'	ContainerStarted	subject-app--0000011-698d76d7-gzm48	subject-app--0000011	PrimaryResult	2026-06-12T16:19:52.2182862Z
Started container 'subject'	ContainerStarted	subject-app--0000011-698d76d7-fz5tt	subject-app--0000011	PrimaryResult	2026-06-12T16:19:52.2182862Z
Started container 'subject'	ContainerStarted	subject-app--0000011-698d76d7-hlqgv	subject-app--0000011	PrimaryResult	2026-06-12T16:19:53.7020481Z
Container 'subject' was terminated with exit code '' and reason 'ManuallyStopped'	ContainerTerminated	subject-app--0000010-547f8648b9-wjdmt	subject-app--0000010	PrimaryResult	2026-06-12T16:20:59.2150673Z
